title,id,track url,img url,artists,danceability,energy,valence,tempo,loudness
All Bad (feat. Lil Uzi Vert),021lWIHJrURZrmvYQ1xcM8,https://open.spotify.com/track/021lWIHJrURZrmvYQ1xcM8,https://i.scdn.co/image/ab67616d0000b273935d8d5369bc55e74a39303e,"['Future', 'Lil Uzi Vert']",0.931,0.667,0.667,142.039,-7.043
Young,1VCD7bvSOjhJYBcOzQguik,https://open.spotify.com/track/1VCD7bvSOjhJYBcOzQguik,https://i.scdn.co/image/ab67616d0000b2730d1f3930676c34a23dbf5c46,['Sam Smith'],0.657,0.19,0.406,118.421,-9.046
CUT EM IN (feat. Rick Ross),68wXv4DokvcOVNvuJ7FbWp,https://open.spotify.com/track/68wXv4DokvcOVNvuJ7FbWp,https://i.scdn.co/image/ab67616d0000b27397b0bf97840bf9ea631bfdb7,"['Anderson .Paak', 'Rick Ross']",0.744,0.777,0.813,158.052,-5.577
No Te Creo,4QSCkYRmv06vKZjXPoarXz,https://open.spotify.com/track/4QSCkYRmv06vKZjXPoarXz,https://i.scdn.co/image/ab67616d0000b2733926e048d839e1173fe17326,"['Rauw Alejandro', 'Wisin & Yandel', 'Mr. Naisgai']",0.762,0.892,0.514,179.971,-2.054
F&MU,24QjawKdGJmsAIVe3EhzGH,https://open.spotify.com/track/24QjawKdGJmsAIVe3EhzGH,https://i.scdn.co/image/ab67616d0000b2733ba8dc55c81f0aaf819057e9,['Kehlani'],0.717,0.597,0.44,77.048,-4.465
Can't Relate,7ueAzFpkUwrLePgFwEevFN,https://open.spotify.com/track/7ueAzFpkUwrLePgFwEevFN,https://i.scdn.co/image/ab67616d0000b273429d4b3d9261b9ccc24d7d36,['King Von'],0.87,0.764,0.252,155.988,-7.891
One Day The Only Butterflies Left Will Be In Your Chest As You March Towards Your Death (feat. Amy Lee),20Kau1BL5IUaPo4l488D57,https://open.spotify.com/track/20Kau1BL5IUaPo4l488D57,https://i.scdn.co/image/ab67616d0000b2735149c948fde506624246a684,"['Bring Me The Horizon', 'Amy Lee']",0.309,0.467,0.288,112.995,-8.574
Reaper's Child,7xqpOUezLTYW1zMNFqnBZs,https://open.spotify.com/track/7xqpOUezLTYW1zMNFqnBZs,https://i.scdn.co/image/ab67616d0000b2738bd6e34012a7ab6311050d0c,['YoungBoy Never Broke Again'],0.759,0.701,0.717,123.933,-4.861
Kobe En LA 2.0,7pWBRneiso1n8vdpn6mp8V,https://open.spotify.com/track/7pWBRneiso1n8vdpn6mp8V,https://i.scdn.co/image/ab67616d0000b27321ee2e52263690b0b2c80c2a,['Jhay Cortez'],0.45,0.637,0.261,96.015,-6.408
Ojos De Maniaco,52Cpyvd2dKb6XRn313nH87,https://open.spotify.com/track/52Cpyvd2dKb6XRn313nH87,https://i.scdn.co/image/ab67616d0000b27392430eb645e0c4201ce33079,"['LEGADO 7', 'Junior H']",0.795,0.585,0.934,97.479,-4.451
Sea Change,60tXDXk5K67J18XNgZ7JZt,https://open.spotify.com/track/60tXDXk5K67J18XNgZ7JZt,https://i.scdn.co/image/ab67616d0000b273568aef7b8b90677763012669,['Stephan Moccio'],0.458,0.00701,0.0939,118.444,-34.755
Lemonade - Remix,3gU7Pr1I4plN6QSxF6jFh3,https://open.spotify.com/track/3gU7Pr1I4plN6QSxF6jFh3,https://i.scdn.co/image/ab67616d0000b27394c0a1fd729e61f0f8216b51,"['Internet Money', 'Don Toliver', 'Roddy Ricch']",0.832,0.549,0.384,140.045,-8.259
lonely,3Rfre3qkrhwdZZ7dyznwbN,https://open.spotify.com/track/3Rfre3qkrhwdZZ7dyznwbN,https://i.scdn.co/image/ab67616d0000b2733bce14005c2001c8004208ff,['Machine Gun Kelly'],0.455,0.728,0.461,165.948,-6.62
RUNNING,6LRl4EPstQ6LyJmsltZoza,https://open.spotify.com/track/6LRl4EPstQ6LyJmsltZoza,https://i.scdn.co/image/ab67616d0000b273b4d59e6fa7e5e7cbc57ac33a,['The Kid LAROI'],0.438,0.585,0.313,100.834,-5.425
Mindreader,2qy1izuCE6TOacJO6hBHlO,https://open.spotify.com/track/2qy1izuCE6TOacJO6hBHlO,https://i.scdn.co/image/ab67616d0000b2733f7f0f240c170bb6a2e0d724,['A Day To Remember'],0.471,0.947,0.524,164.04,-3.062
Modest,2KuvxztaTuhjIdQrXMrmoN,https://open.spotify.com/track/2KuvxztaTuhjIdQrXMrmoN,https://i.scdn.co/image/ab67616d0000b27392621d7615b7f5d056f5bbfe,['NAV'],0.929,0.658,0.392,117.017,-5.792
6locc 6a6y (feat. NLE Choppa) - Remix,2F8SppeXgx401bQnOn07gg,https://open.spotify.com/track/2F8SppeXgx401bQnOn07gg,https://i.scdn.co/image/ab67616d0000b2739e3889f871a766f3bdd9fbc3,"['Lil Loaded', 'NLE Choppa']",0.862,0.673,0.801,125.101,-9.111
Power,6yKkkGw25k29PmdRPHO5vl,https://open.spotify.com/track/6yKkkGw25k29PmdRPHO5vl,https://i.scdn.co/image/ab67616d0000b273a45caaa02f9e7e2d5b27d11c,"['Kevin Gates', 'Dermot Kennedy']",0.591,0.616,0.322,125.99,-6.883
No Pressure Intro,41hwbZ1yF705MxJ7H9bwEu,https://open.spotify.com/track/41hwbZ1yF705MxJ7H9bwEu,https://i.scdn.co/image/ab67616d0000b2731c76e29153f29cc1e1b2b434,['Logic'],0.794,0.845,0.831,93.939,-6.118
What They'll Say About Us,4W1gUkq2TAOOFCBet3i3WR,https://open.spotify.com/track/4W1gUkq2TAOOFCBet3i3WR,https://i.scdn.co/image/ab67616d0000b2733bfed0974a996bfd87ea1c9a,['FINNEAS'],0.535,0.314,0.0663,145.095,-12.823
if i were u (with Lauv),2ttGfRawDPWlkAoXxP5Z72,https://open.spotify.com/track/2ttGfRawDPWlkAoXxP5Z72,https://i.scdn.co/image/ab67616d0000b273e9b6f26ff354f4d70847f02d,"['blackbear', 'Lauv']",0.666,0.628,0.767,82.992,-5.613
Off Season,3StBhEiBdQICzrGiaajy2M,https://open.spotify.com/track/3StBhEiBdQICzrGiaajy2M,https://i.scdn.co/image/ab67616d0000b2738bd6e34012a7ab6311050d0c,['YoungBoy Never Broke Again'],0.677,0.717,0.632,144.872,-6.056
"The Man, The Myth, The Legend - Interlude",4sjdZEEQvR1sXrRNSuBfbA,https://open.spotify.com/track/4sjdZEEQvR1sXrRNSuBfbA,https://i.scdn.co/image/ab67616d0000b2733e0698e4ae5ffb82a005aeeb,['Juice WRLD'],0.667,0.447,0.829,83.534,-14.625
Weight On Me,6A4hgJdwriera4WSUl4moW,https://open.spotify.com/track/6A4hgJdwriera4WSUl4moW,https://i.scdn.co/image/ab67616d0000b273ad8cc1fba73c2360ba0ff182,"['Sheff G', 'Sleepy Hallow']",0.801,0.533,0.626,121.959,-6.198
nothing inside (feat. iann dior),1eTdTVIxLlhHwwA50vEzZa,https://open.spotify.com/track/1eTdTVIxLlhHwwA50vEzZa,https://i.scdn.co/image/ab67616d0000b273d4d4929a3a86fe2f9fadbd42,"['Machine Gun Kelly', 'iann dior']",0.561,0.81,0.508,87.5,-4.754
Any song,1iIhGHzzrzqQfuNkFI2qAn,https://open.spotify.com/track/1iIhGHzzrzqQfuNkFI2qAn,https://i.scdn.co/image/ab67616d0000b2735f9608114e13bb4e5e6b0399,['ZICO'],0.874,0.787,0.896,108.007,-2.416
COOCHIE,5GYJ82Vbwx3iwqUrz5oqhp,https://open.spotify.com/track/5GYJ82Vbwx3iwqUrz5oqhp,https://i.scdn.co/image/ab67616d0000b27354918ec6f685a1f5f428d674,"['YN Jay', 'Louie Ray']",0.793,0.471,0.455,96.995,-12.393
Commander In Chief,3w6f34fBUXOvuko0Ihq7he,https://open.spotify.com/track/3w6f34fBUXOvuko0Ihq7he,https://i.scdn.co/image/ab67616d0000b273894a7186234022b95f2aed0e,['Demi Lovato'],0.496,0.502,0.144,78.042,-7.696
FREAK,0HIj0uo7zaFIpkzUIkDlmL,https://open.spotify.com/track/0HIj0uo7zaFIpkzUIkDlmL,https://i.scdn.co/image/ab67616d0000b2732bff8b7afd5b18cc2b09e73a,"['Tyga', 'Megan Thee Stallion']",0.933,0.556,0.504,106.01,-6.115
Wild Reputation,1ZyQEn0iceHj0Lbt6I6Op3,https://open.spotify.com/track/1ZyQEn0iceHj0Lbt6I6Op3,https://i.scdn.co/image/ab67616d0000b27304db0e3bcd166c1d6cfd81f9,['AC/DC'],0.737,0.709,0.839,108.016,-5.744
